"filename", "language", "Markdown", "JSON with Comments", "JSON", "HTML", "TypeScript", "JavaScript", "XML", "PostCSS", "TypeScript JSX", "comment", "blank", "total"
"/home/korrvo/workspace/calculatorcapstoneclient/README.md", "Markdown", 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 74
"/home/korrvo/workspace/calculatorcapstoneclient/eslint.config.js", "JavaScript", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 2, 24
"/home/korrvo/workspace/calculatorcapstoneclient/index.html", "HTML", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 1, 14
"/home/korrvo/workspace/calculatorcapstoneclient/package-lock.json", "JSON", 0, 0, 4286, 0, 0, 0, 0, 0, 0, 0, 1, 4287
"/home/korrvo/workspace/calculatorcapstoneclient/package.json", "JSON", 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 1, 38
"/home/korrvo/workspace/calculatorcapstoneclient/public/vite.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"/home/korrvo/workspace/calculatorcapstoneclient/src/App.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"/home/korrvo/workspace/calculatorcapstoneclient/src/App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 3, 29
"/home/korrvo/workspace/calculatorcapstoneclient/src/components/auth/Login.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 60, 0, 8, 68
"/home/korrvo/workspace/calculatorcapstoneclient/src/components/auth/Register.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 123, 0, 14, 137
"/home/korrvo/workspace/calculatorcapstoneclient/src/components/carat-calculator/BannerRow.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 214, 2, 11, 227
"/home/korrvo/workspace/calculatorcapstoneclient/src/components/carat-calculator/CaratCalculator.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 81, 0, 11, 92
"/home/korrvo/workspace/calculatorcapstoneclient/src/components/carat-calculator/IncomeForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 145, 0, 5, 150
"/home/korrvo/workspace/calculatorcapstoneclient/src/components/navbar/Navbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 46, 3, 10, 59
"/home/korrvo/workspace/calculatorcapstoneclient/src/index.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 1, 5
"/home/korrvo/workspace/calculatorcapstoneclient/src/main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 2, 14
"/home/korrvo/workspace/calculatorcapstoneclient/src/services/CalculatorContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 5, 17
"/home/korrvo/workspace/calculatorcapstoneclient/src/services/CalculatorProvider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 97, 2, 10, 109
"/home/korrvo/workspace/calculatorcapstoneclient/src/services/calculatorServices.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/korrvo/workspace/calculatorcapstoneclient/src/services/calculatorTypes.ts", "TypeScript", 0, 0, 0, 0, 75, 0, 0, 0, 0, 0, 10, 85
"/home/korrvo/workspace/calculatorcapstoneclient/src/services/userServices.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 77, 0, 14, 91
"/home/korrvo/workspace/calculatorcapstoneclient/src/views/ApplicationViews.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 2, 22
"/home/korrvo/workspace/calculatorcapstoneclient/src/views/Authorized.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 4, 18
"/home/korrvo/workspace/calculatorcapstoneclient/tsconfig.app.json", "JSON", 0, 0, 24, 0, 0, 0, 0, 0, 0, 2, 3, 29
"/home/korrvo/workspace/calculatorcapstoneclient/tsconfig.json", "JSON with Comments", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"/home/korrvo/workspace/calculatorcapstoneclient/tsconfig.node.json", "JSON", 0, 0, 22, 0, 0, 0, 0, 0, 0, 2, 3, 27
"/home/korrvo/workspace/calculatorcapstoneclient/vite.config.ts", "TypeScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 2, 9
"Total", "-", 60, 7, 4369, 13, 81, 22, 1, 4, 927, 13, 140, 5637